id,departamento,municipio,year,hombres_rural,hombres_urbano,mujeres_rural,mujeres_urbano
1,"01 - A H U A C H A P A N","01- Ahuachapán",2007,406,345,837,706
2,"01 - A H U A C H A P A N","02- Apaneca",2007,59,42,33,42
3,"01 - A H U A C H A P A N","03- Atiquizaya",2007,97,79,198,155
4,"01 - A H U A C H A P A N","04- Concepción de Ataco",2007,65,49,89,67
5,"01 - A H U A C H A P A N","05- El Refugio",2007,57,52,0,1
6,"01 - A H U A C H A P A N","06- Guaymango",2007,14,22,149,139
7,"01 - A H U A C H A P A N","07- Jujutla",2007,41,40,202,173
8,"01 - A H U A C H A P A N","08- San Francisco Menéndez",2007,182,199,321,269
9,"01 - A H U A C H A P A N","09- San Lorenzo",2007,16,16,51,62
10,"01 - A H U A C H A P A N","10- San Pedro Puxtla",2007,19,17,76,59
11,"01 - A H U A C H A P A N","11- Tacuba",2007,110,116,133,146
12,"01 - A H U A C H A P A N","12- Turín",2007,28,44,63,54
13,"02 - S A N T A     A N A","01- Santa Ana",2007,2665,2357,59,36
14,"02 - S A N T A     A N A","02- Candelaria de la Frontera",2007,62,58,124,113
15,"02 - S A N T A     A N A","03- Coatepeque",2007,88,71,172,160
16,"02 - S A N T A     A N A","04- Chalchuapa",2007,496,382,229,179
17,"02 - S A N T A     A N A","05- El Congo",2007,116,132,93,101
18,"02 - S A N T A     A N A","06- El Porvenir",2007,21,24,43,45
19,"02 - S A N T A     A N A","07- Masahuat",2007,12,13,12,14
20,"02 - S A N T A     A N A","08- Metapán",2007,305,273,310,277
21,"02 - S A N T A     A N A","09- San Antonio Pajonal",2007,16,12,10,6
22,"02 - S A N T A     A N A","10- San Sebastián Salitrillo",2007,27,29,73,61
23,"02 - S A N T A     A N A","11- Santa Rosa Guachipilín",2007,12,11,26,32
24,"02 - S A N T A     A N A","12- Santiago de la Frontera",2007,13,15,20,27
25,"02 - S A N T A     A N A","13- Texistepeque",2007,29,28,168,132
26,"03 - S O N S O N A T E","01- Sonsonate",2007,592,589,210,183
27,"03 - S O N S O N A T E","02- Acajutla",2007,165,186,319,304
28,"03 - S O N S O N A T E","03- Armenia",2007,284,269,122,124
29,"03 - S O N S O N A T E","04- Caluco",2007,19,22,74,69
30,"03 - S O N S O N A T E","05- Cuisnahuat",2007,44,41,73,88
31,"03 - S O N S O N A T E","06- Izalco",2007,192,185,488,477
32,"03 - S O N S O N A T E","07- Juayúa",2007,141,145,97,94
33,"03 - S O N S O N A T E","08- Nahuizalco",2007,108,125,384,387
34,"03 - S O N S O N A T E","09- Nahulingo",2007,69,61,42,33
35,"03 - S O N S O N A T E","10- Salcoatitán",2007,63,49,7,3
36,"03 - S O N S O N A T E","11- San Antonio del Monte",2007,191,158,105,90
37,"03 - S O N S O N A T E","12- San Julián",2007,39,39,170,160
38,"03 - S O N S O N A T E","13- Santa Catarina Masahuat",2007,46,27,51,39
39,"03 - S O N S O N A T E","14- Santa Isabel Ishuatán",2007,10,9,83,89
40,"03 - S O N S O N A T E","15- Santo Domingo de Guzmán",2007,26,18,58,52
41,"03 - S O N S O N A T E","16- Sonzacate",2007,250,220,0,0
42,"04 - CHALATENANGO","01- Chalatenango",2007,208,154,75,61
43,"04 - CHALATENANGO","02- Agua Caliente",2007,45,40,39,38
44,"04 - CHALATENANGO","03- Arcatao",2007,7,7,11,3
45,"04 - CHALATENANGO","04- Azacualpa",2007,6,5,4,1
46,"04 - CHALATENANGO","05- Cancasque",2007,10,9,7,9
47,"04 - CHALATENANGO","06- Citalá",2007,25,16,31,35
48,"04 - CHALATENANGO","07- Comalapa",2007,8,4,18,24
49,"04 - CHALATENANGO","08- Concepción Quezaltepeque",2007,51,33,12,12
50,"04 - CHALATENANGO","09- Dulce Nombre de María",2007,23,23,23,16
51,"04 - CHALATENANGO","10- El Carrizal",2007,6,7,21,9
52,"04 - CHALATENANGO","11- El Paraíso",2007,44,40,53,52
53,"04 - CHALATENANGO","12- La Laguna",2007,13,12,23,20
54,"04 - CHALATENANGO","13- La Palma",2007,54,34,89,95
55,"04 - CHALATENANGO","14- La Reina",2007,48,45,16,14
56,"04 - CHALATENANGO","15- Las Flores",2007,11,3,4,3
57,"04 - CHALATENANGO","16- Las Vueltas",2007,16,7,2,0
58,"04 - CHALATENANGO","17- Nombre de Jesús",2007,10,9,23,25
59,"04 - CHALATENANGO","18- Nueva Concepción",2007,108,120,175,154
60,"04 - CHALATENANGO","19- Nueva Trinidad",2007,3,4,12,8
61,"04 - CHALATENANGO","20- Ojos de Agua",2007,13,11,11,15
62,"04 - CHALATENANGO","21- Potonico",2007,10,6,4,2
63,"04 - CHALATENANGO","22- San Antonio de la Cruz",2007,3,5,6,6
64,"04 - CHALATENANGO","23- San Antonio los Ranchos",2007,3,7,0,0
65,"04 - CHALATENANGO","24- San Fernando",2007,4,9,15,13
66,"04 - CHALATENANGO","25- San Francisco Lempa",2007,7,6,0,0
67,"04 - CHALATENANGO","26- San Francisco Morazán",2007,6,9,10,5
68,"04 - CHALATENANGO","27- San Ignacio",2007,12,20,67,65
69,"04 - CHALATENANGO","28- San Isidro Labrador",2007,3,4,2,1
70,"04 - CHALATENANGO","29- San Luis del Carmen",2007,5,4,0,4
71,"04 - CHALATENANGO","30- San Miguel de Mercedes",2007,9,6,9,5
72,"04 - CHALATENANGO","31- San Rafael",2007,25,14,15,9
73,"04 - CHALATENANGO","32- Santa Rita",2007,21,13,14,15
74,"04 - CHALATENANGO","33- Tejutla",2007,31,36,98,90
75,"05 - L A     L I B E R T A D","01- Santa Tecla",2007,1075,984,255,204
76,"05 - L A     L I B E R T A D","02- Antiguo Cuscatlán",2007,145,131,0,0
77,"05 - L A     L I B E R T A D","03- Ciudad Arce",2007,258,250,269,234
78,"05 - L A     L I B E R T A D","04- Colón",2007,978,844,7,11
